lon,lat,name,address,pname,cityname,business_area,type
103.866150,31.048268,东京物流(成都隆丰站),隆裕街,四川省,成都市,,生活服务;物流速递;物流速递
103.943845,30.975305,申通快递南门营业部,南河东街30附近,四川省,成都市,致和街道,生活服务;物流速递;物流速递
103.926446,30.979727,力展物流(天人中路),天人东四巷46-50号,四川省,成都市,,生活服务;物流速递;物流速递
103.926048,30.979622,佳明物流(彭州办事处),天人东三巷与天人中路交叉口西50米,四川省,成都市,,生活服务;物流速递;物流速递
103.757985,31.187351,中通快递小鱼洞镇自取点,小鱼洞镇丙人街27号,四川省,成都市,,生活服务;物流速递;物流速递
103.935193,30.985177,彭州申通快递有限公司(西门分部),翠湖东路83附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.952182,30.986473,彭州申通快递有限公司(东门分部),东升街137附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.956502,30.961536,彭州市京东快运集配站,金彭故径街229号,四川省,成都市,致和,生活服务;物流速递;物流速递
103.932084,30.952912,国药集团四川医学检验有限公司物流中心,长寿中路,四川省,成都市,,生活服务;物流速递;物流速递
103.850604,31.065466,丹景山镇中通申通快递,丹寿苑小区二栋附103-104,四川省,成都市,,生活服务;物流速递;物流速递
104.125257,30.939632,彭州舞东风农产品物流中心,濛三北路152号,四川省,成都市,,生活服务;物流速递;物流速递
104.006928,31.143351,申通快递代收点(会元街),会元街25号附近,四川省,成都市,,生活服务;物流速递;物流速递
103.864443,31.049845,彭州市隆丰邮政支局,隆丰镇隆裕街301号,四川省,成都市,,生活服务;邮局;邮局
103.780138,31.101083,彭州市磁峰邮政支局,磁峰镇蹯江路80号,四川省,成都市,,生活服务;邮局;邮局
103.988035,31.094180,彭州市敖平邮政局,106省道附近,四川省,成都市,敖平镇,生活服务;邮局;邮局
103.760049,31.191531,彭州市小渔洞邮政代办所,小渔洞镇复兴路280号,四川省,成都市,,生活服务;邮局;邮局
104.117469,30.950744,天地精华农业开发有限责任公司物流配送中心,蒙三北路,四川省,成都市,,生活服务;物流速递;物流仓储场地
104.110383,30.957865,余氏东风物流蒙阳镇营业部,蒙阳镇园石街8号,四川省,成都市,,生活服务;物流速递;物流速递
103.988843,31.096435,余氏东风物流敖平镇服务部,S106(敖红路北段),四川省,成都市,,生活服务;物流速递;物流速递
103.960269,31.131468,彭州市葛仙山邮政代办所,官仓路西50米,四川省,成都市,,生活服务;邮局;邮局
103.780505,31.103187,磁峰申通快递,蟠江路15号,四川省,成都市,,生活服务;物流速递;物流速递
103.834376,31.158503,中通快递公司,通济镇仙溪北街128号,四川省,成都市,,生活服务;物流速递;物流速递
103.917049,30.928707,太平中通快递,致和镇太平社区太平路北段147号,四川省,成都市,,生活服务;物流速递;物流速递
103.970793,30.981440,彭州百世快递,天府东路377号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.928286,30.952645,德邦快递,健康大道199号湔江大厦楼下,四川省,成都市,,生活服务;物流速递;物流速递
103.926241,30.980576,海风物流(彭州店),天人北街40,四川省,成都市,,生活服务;物流速递;物流速递
104.111215,30.948333,中通快运彭州濛阳营业部,蒙阳镇建业中路198号,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.958915,30.962159,优速快递,清白江东路38西60米,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.968786,30.989799,顺泰配送,[],四川省,成都市,天彭,生活服务;生活服务场所;生活服务场所
104.113511,30.938501,华厨乐商贸仓储配送中心,蒙阳万贯服装工业园区蒙兴中路145号,四川省,成都市,,生活服务;生活服务场所;生活服务场所
104.124992,30.945148,洋阳配送,[],四川省,成都市,,生活服务;物流速递;物流速递
104.119700,30.937556,成都标果科技有限公司仓储配送中心,濛兴东路与濛三西路交叉路口往东北约50米,四川省,成都市,,生活服务;物流速递;物流速递
103.957964,30.977737,菜鸟驿站(成都彭州恋城公馆店),天彭街道天府东路88号碧美恋城公馆附12号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.956250,30.989010,菜鸟驿站(成都彭州牡丹西路21号顺风港店),天彭街道牡丹西路21号,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.107840,30.944340,菜鸟驿站(成都蒙阳凤凰大道南段711号店),蒙阳镇凤凰大道南段711号,四川省,成都市,,生活服务;物流速递;物流速递
103.945650,30.940690,菜鸟驿站(成都彭州贤清南路291号店),致和镇贤清南路291号,四川省,成都市,,生活服务;物流速递;物流速递
103.867221,31.047773,顺丰速运,隆裕街与兴府街交叉路口往北约150米,四川省,成都市,,生活服务;物流速递;物流速递
103.947713,30.943923,润怡物流,[],四川省,成都市,致和,生活服务;物流速递;物流速递
103.813573,30.963909,宇超物流,[],四川省,成都市,,生活服务;物流速递;物流速递
104.035613,30.993356,余氏东风物流,观音泉南街114号,四川省,成都市,,生活服务;物流速递;物流速递
103.925787,30.979321,渝诚物流,天彭街道天人小区高铁站对面峰旭超市2楼,四川省,成都市,,生活服务;物流速递;物流速递
103.951250,30.981350,菜鸟驿站(成都彭州润和园后门店),天彭街道新民路242号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.919821,30.990558,菜鸟驿站(成都彭州天泉小区2栋104号店),天彭街道彭白路天泉小区2栋十单元104号,四川省,成都市,,生活服务;物流速递;物流速递
104.110539,30.956442,四川幸福有菜供应链配送中心,[],四川省,成都市,,生活服务;物流速递;物流速递
103.944145,30.930098,菜鸟驿站(成都彭州丽都府连封北街35号店),天彭街道连封北街35号,四川省,成都市,,生活服务;物流速递;物流速递
103.936637,30.976510,货拉拉LalaPartner一辰汽车销售和服务伙伴,繁江南路378号,四川省,成都市,天彭,生活服务;物流速递;物流速递|汽车销售;汽车销售;汽车销售
103.936583,30.976557,滴滴货运,繁江南路,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.927019,30.980193,宏金龙物流,天人东街1号-11号,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.911342,31.202530,菜鸟驿站(成都白鹿左岸路店),白鹿镇左岸路136号,四川省,成都市,,生活服务;物流速递;物流速递
103.947100,30.991540,菜鸟驿站(成都彭州团结巷30号店),天彭街道团结巷30号,四川省,成都市,天彭,生活服务;物流速递;物流速递
